Fri Feb 20 09:26:45 2015    ugzone_profile.txt

         138680 function calls (138637 primitive calls) in 20.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   20.005   20.005 <string>:1(<module>)
        1    0.000    0.000   20.005   20.005 ugzone.py:272(main)
        1    0.000    0.000   20.002   20.002 ugzone.py:233(get_lmap_hostingname_zone_hosted)
        2    0.001    0.001   20.001   10.000 mexecutor.py:92(create)
      982    0.001    0.000   19.957    0.020 forking.py:131(poll)
      982   19.956    0.020   19.956    0.020 {posix.waitpid}
       51    0.000    0.000   19.956    0.391 process.py:139(join)
       51    0.000    0.000   19.956    0.391 forking.py:152(wait)
        1    0.000    0.000    3.337    3.337 mexecutor.py:80(create_from_lexe)
       51    0.004    0.000    0.021    0.000 process.py:116(start)
      447    0.000    0.000    0.019    0.000 mexecutor.py:39(add_issuer_issuing)
      447    0.014    0.000    0.018    0.000 mexecutor.py:44(get)
       51    0.002    0.000    0.015    0.000 forking.py:116(__init__)
       51    0.013    0.000    0.013    0.000 {posix.fork}
   126964    0.004    0.000    0.004    0.000 {id}
       51    0.001    0.000    0.003    0.000 process.py:76(_cleanup)
        6    0.000    0.000    0.002    0.000 argparse.py:1556(__init__)
       51    0.000    0.000    0.002    0.000 queues.py:113(get)
       51    0.001    0.000    0.001    0.000 {method 'recv' of '_multiprocessing.Connection' objects}
        5    0.000    0.000    0.001    0.000 argparse.py:1054(add_parser)
        2    0.000    0.000    0.001    0.001 __init__.py:213(Queue)
       18    0.000    0.000    0.001    0.000 gettext.py:565(gettext)
       18    0.000    0.000    0.001    0.000 gettext.py:527(dgettext)
       18    0.000    0.000    0.001    0.000 gettext.py:461(translation)
       18    0.000    0.000    0.001    0.000 gettext.py:421(find)
       51    0.000    0.000    0.001    0.000 re.py:226(_compile)
       14    0.000    0.000    0.001    0.000 argparse.py:1263(add_argument)
        6    0.000    0.000    0.001    0.000 sre_compile.py:493(compile)
        1    0.000    0.000    0.001    0.001 mexecutor.py:176(gen_list_from_lprefixhost)
       51    0.000    0.000    0.001    0.000 mexecutor.py:317(__init__)
        1    0.000    0.000    0.001    0.001 mhost.py:46(gen_from_prefix)
       49    0.000    0.000    0.001    0.000 re.py:188(compile)
        1    0.000    0.000    0.001    0.001 queues.py:35(<module>)
        1    0.000    0.000    0.000    0.000 mhost.py:85(_load_cache)
       18    0.000    0.000    0.000    0.000 argparse.py:1182(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1700(parse_args)
      2/1    0.000    0.000    0.000    0.000 argparse.py:1707(parse_known_args)
      2/1    0.000    0.000    0.000    0.000 argparse.py:1742(_parse_known_args)
      3/2    0.000    0.000    0.000    0.000 argparse.py:1887(consume_positionals)
        2    0.000    0.000    0.000    0.000 queues.py:58(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:1377(load)
        1    0.000    0.000    0.000    0.000 pickle.py:845(load)
       15    0.000    0.000    0.000    0.000 argparse.py:2326(_get_formatter)
       36    0.000    0.000    0.000    0.000 gettext.py:130(_expand_lang)
        6    0.000    0.000    0.000    0.000 sre_compile.py:478(_code)
       43    0.000    0.000    0.000    0.000 cmd_zone_hostname.py:25(_factory)
       15    0.000    0.000    0.000    0.000 argparse.py:154(__init__)
